Close,diff_Daily,fluc_Daily,diff_Close_lag_5_4day,diff_Close_lag_4_3day,diff_Close_lag_3_2day,diff_Close_lag_2_1day,diff_Close_lag_1_0day,Close_next_1day,diff_Close_next_1day,RSI_7,RSI_8,RSI_9,RSI_10,RSI_11,RSI_12,RSI_13,RSI_14,MACD_f11_s25_p8,MACD_Signal_f11_s25_p8,MACD_Hist_f11_s25_p8,MACD_f12_s26_p9,MACD_Signal_f12_s26_p9,MACD_Hist_f12_s26_p9,MACD_f13_s27_p10,MACD_Signal_f13_s27_p10,MACD_Hist_f13_s27_p10,MACD_f14_s28_p11,MACD_Signal_f14_s28_p11,MACD_Hist_f14_s28_p11,MACD_f15_s29_p12,MACD_Signal_f15_s29_p12,MACD_Hist_f15_s29_p12
1.1,-0.010000000000000009,0.020000000000000018,0.010000000000000009,0.0,0.009999999999999787,0.0,0.020000000000000018,1.07,-0.030000000000000027,50.0,50.0,41.66666666666664,41.66666666666664,41.66666666666664,46.153846153846146,42.85714285714283,42.85714285714283,-0.005595314354614356,-0.006382642203131274,0.0007873278485169182,-0.005699688938609615,-0.006654864807004644,0.0009551758683950286,-0.005771279006454355,-0.006807441422614155,0.0010361624161597995,-0.0058092476427316075,-0.006860559268546286,0.0010513116258146788,-0.005815222356281291,-0.006838642771729014,0.0010234204154477228
1.07,-0.030000000000000027,0.050000000000000044,0.0,0.009999999999999787,0.0,0.020000000000000018,0.030000000000000027,1.08,0.010000000000000009,41.666666666666636,38.461538461538424,38.461538461538424,33.333333333333286,33.333333333333286,33.333333333333286,37.49999999999997,35.29411764705878,-0.009287328167139064,-0.00702885823213553,-0.0022584699350035337,-0.008949790253556689,-0.007115241298884496,-0.001834548954672193,-0.008653882534434665,-0.007145397253704513,-0.0015084852807301522,-0.008383356272196218,-0.0071175920136688844,-0.001265764258527334,-0.00812810310139156,-0.007041368830454551,-0.0010867342709370087
1.08,0.010000000000000009,0.050000000000000044,0.009999999999999787,0.0,0.020000000000000018,0.030000000000000027,-0.010000000000000009,1.12,0.040000000000000036,12.500000000000028,46.153846153846146,42.85714285714283,42.85714285714283,37.49999999999997,37.49999999999997,37.49999999999997,41.17647058823527,-0.011121581242718337,-0.007939152320316329,-0.0031824289224020082,-0.010609012467198253,-0.007815689111439027,-0.0027933233557592262,-0.010159917017712461,-0.007696479282155422,-0.0024634377355570386,-0.009755585303200531,-0.0075619152226216535,-0.0021936700805788778,-0.009383363675135037,-0.0074083347402903385,-0.0019750289348446984
1.12,0.030000000000000027,0.05999999999999983,0.0,0.020000000000000018,0.030000000000000027,-0.010000000000000009,-0.040000000000000036,1.1,-0.020000000000000018,45.45454545454555,41.66666666666675,58.823529411764724,55.55555555555557,55.55555555555557,50.0,50.0,50.0,-0.008843814312666565,-0.00814032584347542,-0.0007034884691911446,-0.008646694668205113,-0.007982212325533177,-0.0006644823426719352,-0.008453125358650171,-0.007834664219122489,-0.0006184611395276818,-0.008259407599799928,-0.007679188391528457,-0.0005802192082714711,-0.008063324894624913,-0.0075106738131055705,-0.000552651081519342
1.1,-0.029999999999999805,0.039999999999999813,0.020000000000000018,0.030000000000000027,-0.010000000000000009,-0.040000000000000036,0.020000000000000018,1.1,0.0,38.46153846153853,38.46153846153853,35.714285714285765,52.63157894736843,50.0,50.0,45.454545454545446,45.454545454545446,-0.008752791812298932,-0.008276501796733332,-0.0004762900155655999,-0.008583070937090431,-0.008102570292778003,-0.0004805006443124281,-0.008411184632371782,-0.007939867903742988,-0.00047131672862879385,-0.008235151992110001,-0.007772528468233492,-0.00046262352387650956,-0.008053868899995598,-0.007595342318052077,-0.00045852658194352105
1.1,0.0,0.010000000000000009,0.030000000000000027,-0.010000000000000009,-0.040000000000000036,0.020000000000000018,0.0,1.08,-0.020000000000000018,41.66666666666667,38.46153846153853,38.46153846153853,35.714285714285765,52.63157894736843,50.0,50.0,45.454545454545446,-0.008570273022788122,-0.008341811299748104,-0.00022846172304001773,-0.008435208703334363,-0.008169180434250427,-0.00026602826908393544,-0.008291859671549773,-0.00800405699963686,-0.00028780267191291266,-0.008139824796780326,-0.007834118145505914,-0.0003057066512744122,-0.007979081624284623,-0.007655035363859936,-0.00032404626042468673
1.08,-0.020000000000000018,0.040000000000000036,-0.010000000000000009,-0.040000000000000036,0.020000000000000018,0.0,0.020000000000000018,1.07,-0.010000000000000009,35.71428571428572,35.71428571428572,33.333333333333385,33.333333333333385,31.250000000000043,47.61904761904761,45.454545454545446,45.454545454545446,-0.010097156666623697,-0.008732013554597155,-0.0013651431120265418,-0.009798594997727728,-0.008495386405692367,-0.0013032085920353601,-0.009518381034306467,-0.008280059155304158,-0.001238321879002309,-0.009250586647205461,-0.008071395730019873,-0.001179190917185588,-0.008991058540406272,-0.007862507317282464,-0.0011285512231238078
1.07,-0.010000000000000009,0.030000000000000027,-0.040000000000000036,0.020000000000000018,0.0,0.020000000000000018,0.010000000000000009,1.06,-0.010000000000000009,38.46153846153846,33.33333333333333,33.33333333333333,31.250000000000043,31.250000000000043,29.41176470588239,45.454545454545446,43.478260869565204,-0.012031068884573282,-0.00946532041148612,-0.002565748473087161,-0.011543221455801556,-0.009105436747390344,-0.0024377847084112118,-0.011101110445481677,-0.008793999115375062,-0.0023071113301066145,-0.010693794930179745,-0.00851031129184778,-0.0021834836383319654,-0.010313212121326742,-0.008242529989145908,-0.0020706821321808348
1.06,-0.010000000000000009,0.030000000000000027,0.020000000000000018,0.0,0.020000000000000018,0.010000000000000009,0.010000000000000009,1.08,0.020000000000000018,45.45454545454546,35.71428571428572,31.25,31.25,29.41176470588239,29.41176470588239,27.777777777777814,43.478260869565204,-0.014253838526964824,-0.010529642639233677,-0.003724195887731147,-0.013567290413954103,-0.009998373446574439,-0.0035689169673796643,-0.012951908772518284,-0.009551214130358726,-0.0034006946421595574,-0.01239275651964955,-0.009159665118150155,-0.003233091401499395,-0.01187849148193787,-0.008805659170402512,-0.0030728323115353576
1.08,0.020000000000000018,0.050000000000000044,0.0,0.020000000000000018,0.010000000000000009,0.010000000000000009,-0.020000000000000018,1.07,-0.010000000000000009,50.0,53.846153846153854,43.75,38.888888888888886,38.888888888888886,36.84210526315793,36.84210526315793,35.00000000000004,-0.01399912748411447,-0.01130075596899078,-0.00269837151512369,-0.013418381003190705,-0.010682721963821152,-0.0027356590393695524,-0.012881902489523256,-0.010157600683808981,-0.002724301805714275,-0.012382283897287127,-0.009698344153611755,-0.002683939743675373,-0.011913373076244183,-0.009286478640630522,-0.002626894435613661
